id,section,content
1,Loan Amount,"The total loan amount approved for the vehicle is ₹8,50,000, payable over 48 months."
2,Interest Rate,"An annual interest rate of 10.75% will be applied on the outstanding principal balance."
3,Processing Fee,"A non-refundable processing fee of ₹3,500 will be charged at the time of agreement."
4,Prepayment Terms,"Prepayment is allowed after 6 months of EMI completion. A penalty of 3% will apply on the remaining principal."
5,Late Payment Fee,"A late fee of ₹750 will be charged for every EMI not paid within 7 days of the due date."
6,Insurance Requirement,"The borrower must maintain comprehensive insurance for the vehicle throughout the loan duration."
7,Repossession Clause,"Failure to pay EMI for 3 consecutive months will result in vehicle repossession by the lender."
8,Maintenance Responsibility,"The borrower is responsible for regular servicing and maintenance of the vehicle."
9,Mileage Limit,"The lease allows an annual mileage limit of 18,000 km. Exceeding this will incur ₹6 per extra km."
10,End of Lease,"At the end of the lease term, the user may return the vehicle in good condition or opt to purchase it at the residual value."
