contract_id,raw_text,expected_apr,expected_term,expected_payment,expected_penalty
1,"This contract between Prime Auto and Emily Stone includes APR 10.49%, term 24 months, monthly payment $959, and None.",10.49,24,959,null
2,"This contract between ABC Motors and Priya Sharma includes APR 3.78%, term 24 months, monthly payment $804, and Early termination fee $300.",3.78,24,804,"Early termination fee $300"
3,"This contract between DriveEasy Finance and Sara Lopez includes APR 5.41%, term 24 months, monthly payment $774, and Late fee $50.",5.41,24,774,"Late fee $50"
4,"This contract between National Motors and Alex Kim includes APR 5.26%, term 48 months, monthly payment $1028, and Late fee $25.",5.26,48,1028,"Late fee $25"
5,"This contract between National Motors and John Doe includes APR 5.97%, term 36 months, monthly payment $1180, and None.",5.97,36,1180,null
6,"This contract between National Motors and Rahul Verma includes APR 6.99%, term 48 months, monthly payment $818, and None.",6.99,48,818,null
7,"This contract between CarHub Leasing and Rahul Verma includes APR 4.06%, term 60 months, monthly payment $280, and None.",4.06,60,280,null
8,"This contract between Prime Auto and David Chen includes APR 4.9%, term 24 months, monthly payment $246, and Late fee $50.",4.9,24,246,"Late fee $50"
9,"This contract between CarHub Leasing and Priya Sharma includes APR 3.76%, term 48 months, monthly payment $664, and None.",3.76,48,664,null
10,"This contract between Prime Auto and Priya Sharma includes APR 10.88%, term 24 months, monthly payment $823, and Late fee $50.",10.88,24,823,"Late fee $50"
11,"This contract between ABC Motors and Priya Sharma includes APR 8.28%, term 48 months, monthly payment $1147, and Late fee $50.",8.28,48,1147,"Late fee $50"
12,"This contract between DriveEasy Finance and Emily Stone includes APR 12.77%, term 48 months, monthly payment $610, and None.",12.77,48,610,null
13,"This contract between Prime Auto and Priya Sharma includes APR 6.43%, term 60 months, monthly payment $605, and Early termination fee $300.",6.43,60,605,"Early termination fee $300"
14,"This contract between CarHub Leasing and Priya Sharma includes APR 11.81%, term 48 months, monthly payment $964, and Early termination fee $300.",11.81,48,964,"Early termination fee $300"
15,"This contract between ABC Motors and Priya Sharma includes APR 14.97%, term 36 months, monthly payment $721, and Early termination fee $300.",14.97,36,721,"Early termination fee $300"
16,"This contract between DriveEasy Finance and Sara Lopez includes APR 10.34%, term 60 months, monthly payment $810, and Late fee $25.",10.34,60,810,"Late fee $25"
17,"This contract between CarHub Leasing and David Chen includes APR 9.11%, term 24 months, monthly payment $896, and Late fee $25.",9.11,24,896,"Late fee $25"
18,"This contract between ABC Motors and Emily Stone includes APR 10.51%, term 24 months, monthly payment $500, and Early termination fee $300.",10.51,24,500,"Early termination fee $300"
19,"This contract between CarHub Leasing and David Chen includes APR 13.45%, term 48 months, monthly payment $1195, and Late fee $50.",13.45,48,1195,"Late fee $50"
20,"This contract between DriveEasy Finance and John Doe includes APR 10.49%, term 36 months, monthly payment $356, and None.",10.49,36,356,null
21,"This contract between Prime Auto and John Doe includes APR 9.99%, term 60 months, monthly payment $219, and Late fee $25.",9.99,60,219,"Late fee $25"
22,"This contract between Prime Auto and Priya Sharma includes APR 5.51%, term 24 months, monthly payment $287, and Early termination fee $300.",5.51,24,287,"Early termination fee $300"
23,"This contract between Prime Auto and Emily Stone includes APR 10.75%, term 36 months, monthly payment $471, and Early termination fee $300.",10.75,36,471,"Early termination fee $300"
24,"This contract between Prime Auto and John Doe includes APR 6.4%, term 48 months, monthly payment $648, and Early termination fee $300.",6.4,48,648,"Early termination fee $300"
25,"This contract between ABC Motors and Priya Sharma includes APR 6.73%, term 36 months, monthly payment $802, and Late fee $50.",6.73,36,802,"Late fee $50"
